year,ahe,bachelor,female,age,const
2015.0,11.778846,0.0,0.0,26.0,1
2015.0,9.615385,0.0,1.0,33.0,1
2015.0,12.019231,0.0,0.0,31.0,1
2015.0,18.376068,0.0,0.0,32.0,1
2015.0,41.836735,0.0,0.0,28.0,1
2015.0,19.23077,0.0,1.0,31.0,1
2015.0,13.461538,0.0,0.0,34.0,1
2015.0,25.641026,1.0,1.0,33.0,1
2015.0,35.470085,0.0,0.0,34.0,1
2015.0,16.02564,1.0,1.0,33.0,1
2015.0,33.658173,1.0,0.0,32.0,1
2015.0,23.076923,1.0,1.0,30.0,1
2015.0,19.23077,0.0,0.0,31.0,1
2015.0,14.423077,0.0,0.0,31.0,1
2015.0,12.980769,1.0,1.0,30.0,1
2015.0,11.538462,1.0,0.0,30.0,1
2015.0,8.01282,0.0,0.0,33.0,1
2015.0,13.125,0.0,0.0,28.0,1
2015.0,23.076923,0.0,0.0,33.0,1
2015.0,20.879122,0.0,0.0,26.0,1
2015.0,3.8461537,1.0,1.0,28.0,1
2015.0,22.596153,1.0,1.0,34.0,1
2015.0,6.5384617,1.0,0.0,29.0,1
2015.0,18.589743,1.0,1.0,28.0,1
2015.0,14.399038,0.0,1.0,29.0,1
2015.0,19.711538,1.0,0.0,33.0,1
2015.0,22.349272,1.0,1.0,31.0,1
2015.0,26.442308,0.0,1.0,30.0,1
2015.0,7.0,1.0,1.0,33.0,1
2015.0,57.692307,0.0,0.0,33.0,1
2015.0,36.057693,0.0,0.0,33.0,1
2015.0,24.475525,1.0,0.0,30.0,1
2015.0,19.23077,0.0,0.0,29.0,1
2015.0,8.653846,0.0,1.0,30.0,1
2015.0,20.979021,1.0,1.0,26.0,1
2015.0,13.782051,1.0,0.0,26.0,1
2015.0,14.164904,1.0,1.0,33.0,1
2015.0,14.102564,0.0,0.0,28.0,1
2015.0,31.46853,0.0,1.0,34.0,1
2015.0,20.054945,1.0,0.0,27.0,1
2015.0,17.788462,1.0,1.0,32.0,1
2015.0,11.538462,1.0,1.0,29.0,1
2015.0,8.0,0.0,1.0,25.0,1
2015.0,19.23077,1.0,1.0,31.0,1
2015.0,12.5,0.0,0.0,34.0,1
2015.0,13.461538,0.0,0.0,26.0,1
2015.0,24.038462,0.0,1.0,33.0,1
2015.0,18.53125,1.0,1.0,33.0,1
2015.0,12.980769,0.0,1.0,28.0,1
2015.0,23.076923,1.0,1.0,34.0,1
2015.0,6.730769,0.0,0.0,27.0,1
2015.0,5.263158,1.0,1.0,25.0,1
2015.0,19.23077,1.0,0.0,32.0,1
2015.0,28.846153,0.0,0.0,34.0,1
2015.0,9.615385,1.0,1.0,32.0,1
2015.0,14.957265,1.0,0.0,31.0,1
2015.0,19.23077,1.0,1.0,29.0,1
2015.0,32.692307,0.0,0.0,34.0,1
2015.0,38.46154,1.0,1.0,30.0,1
2015.0,29.283216,1.0,0.0,31.0,1
2015.0,16.483517,1.0,1.0,29.0,1
2015.0,21.923077,1.0,1.0,30.0,1
2015.0,60.0,1.0,0.0,34.0,1
2015.0,17.482517,1.0,1.0,32.0,1
2015.0,15.384615,0.0,0.0,32.0,1
2015.0,37.39316,1.0,1.0,25.0,1
2015.0,18.26923,0.0,0.0,25.0,1
2015.0,19.23077,0.0,0.0,28.0,1
2015.0,11.0,0.0,0.0,30.0,1
2015.0,12.019231,0.0,0.0,30.0,1
2015.0,15.384615,0.0,0.0,28.0,1
2015.0,14.182693,1.0,1.0,26.0,1
2015.0,14.423077,1.0,1.0,26.0,1
2015.0,11.538462,0.0,0.0,30.0,1
2015.0,26.442308,1.0,1.0,25.0,1
2015.0,24.038462,1.0,0.0,26.0,1
2015.0,20.512821,0.0,0.0,30.0,1
2015.0,40.865383,1.0,0.0,33.0,1
2015.0,36.458332,1.0,0.0,27.0,1
2015.0,19.23077,1.0,0.0,27.0,1
2015.0,49.51923,0.0,0.0,26.0,1
2015.0,15.384615,1.0,1.0,32.0,1
2015.0,16.346153,0.0,0.0,30.0,1
2015.0,12.980769,0.0,0.0,25.0,1
2015.0,29.326923,0.0,0.0,29.0,1
2015.0,19.23077,0.0,1.0,27.0,1
2015.0,14.423077,0.0,0.0,31.0,1
2015.0,29.91453,0.0,0.0,34.0,1
2015.0,14.423077,0.0,1.0,33.0,1
2015.0,15.0,1.0,1.0,29.0,1
2015.0,17.307692,1.0,0.0,29.0,1
2015.0,22.596153,0.0,0.0,27.0,1
2015.0,12.980769,1.0,0.0,30.0,1
2015.0,20.432692,1.0,1.0,31.0,1
2015.0,30.117132,0.0,0.0,30.0,1
2015.0,23.076923,1.0,0.0,32.0,1
2015.0,14.423077,0.0,1.0,27.0,1
2015.0,30.76923,1.0,0.0,29.0,1
2015.0,7.2115383,0.0,1.0,26.0,1
2015.0,10.316937,0.0,1.0,32.0,1
2015.0,21.367521,0.0,0.0,31.0,1
2015.0,16.826923,1.0,1.0,30.0,1
2015.0,46.153847,1.0,0.0,25.0,1
2015.0,10.09667,1.0,1.0,26.0,1
2015.0,14.423077,0.0,0.0,28.0,1
2015.0,48.076923,1.0,0.0,33.0,1
2015.0,19.23077,1.0,1.0,28.0,1
2015.0,12.980769,0.0,0.0,26.0,1
2015.0,19.711538,1.0,1.0,33.0,1
2015.0,10.576923,0.0,0.0,34.0,1
2015.0,20.192308,1.0,0.0,25.0,1
2015.0,38.46154,1.0,1.0,32.0,1
2015.0,16.346153,0.0,1.0,33.0,1
2015.0,13.096154,1.0,1.0,29.0,1
2015.0,29.91453,0.0,1.0,27.0,1
2015.0,12.019231,0.0,0.0,25.0,1
2015.0,17.788462,0.0,1.0,28.0,1
